Site,Date,Start,End,,Lon UTM,Lat UTM,Km,h,Km / h
12,2009-05-23,17:55:08,17:56:36,,717913,3451274,,,
13,2009-05-23,21:30:26,21:56:33,,717152,3448909,2.48,3.56,0.7
12,2010-05-23,19:03:43,19:03:44,,717913,3451274,2.48,21.12,0.12
1,2010-05-23,19:27:43,19:30:26,,715191,3456491,5.88,0.4,14.72
2,2011-05-23,9:46:09,9:48:13,,714430,3454126,2.48,14.26,0.17
3,2011-05-23,18:21:36,18:23:41,,713668,3451761,2.48,8.56,0.29
12,2011-05-23,19:58:03,20:02:24,,717913,3451274,4.27,1.57,2.72
1,2011-05-23,20:34:48,20:34:48,,715191,3456491,5.88,0.54,10.9
4,2011-05-23,23:57:50,0:11:00,,712906,3449397,7.45,3.38,2.2
3,2012-05-23,1:07:52,1:10:35,,713668,3451761,2.48,0.95,2.62
2,2012-05-23,20:24:18,20:24:21,,714430,3454126,2.48,19.23,0.13
2,2014-05-23,13:16:07,13:16:08,,714430,3454126,,,
8,2014-05-23,20:05:00,20:07:00,,715410,3450335,3.92,6.81,0.57
13,2015-05-23,15:46:24,15:46:35,,717152,3448909,2.25,19.66,0.11
8,2015-05-23,23:52:00,23:52:00,,715410,3450335,2.25,8.09,0.28
13,2016-05-23,5:27:15,5:29:18,,717152,3448909,2.25,5.59,0.4
13,2016-05-23,18:26:59,18:26:59,,717152,3448909,,,
13,2017-05-23,2:35:21,2:38:39,,717152,3448909,,,
13,2017-05-23,8:22:24,8:24:39,,717152,3448909,,,
3,2017-05-23,10:11:43,10:11:52,,713668,3451761,4.5,1.78,2.52
9,2017-05-23,18:24:17,18:24:22,,714648,3447970,3.92,8.21,0.48
18,2017-05-23,19:10:34,19:11:11,,718895,3447483,4.27,0.77,5.55
18,2017-05-23,20:40:57,20:51:13,,718895,3447483,,,
12,2017-05-23,23:54:53,23:58:02,,717913,3451274,3.92,3.06,1.28
12,2018-05-23,2:11:26,2:12:20,,717913,3451274,,,
18,2018-05-23,3:27:19,3:27:19,,718895,3447483,3.92,1.25,3.13
28,2018-05-23,5:27:20,5:38:27,,722381,3444632,4.5,2,2.25
13,2018-05-23,6:41:46,7:05:36,,717152,3448909,6.76,1.06,6.4
2,2018-05-23,13:02:46,13:08:48,,714430,3454126,5.88,5.95,0.99
13,2018-05-23,14:10:31,14:10:32,,717152,3448909,5.88,1.03,5.72
13,2018-05-23,16:17:58,16:22:08,,717152,3448909,,,
28,2018-05-23,16:31:33,16:31:34,,722381,3444632,6.76,0.16,43.04
12,2019-05-23,0:48:43,0:56:33,,717913,3451274,8,8.29,0.97
9,2019-05-23,1:40:45,1:40:45,,714648,3447970,4.64,0.74,6.3
12,2019-05-23,2:27:14,2:27:15,,717913,3451274,4.64,0.77,6
13,2019-05-23,7:32:00,7:33:00,,717152,3448909,2.48,5.08,0.49
8,2019-05-23,15:14:00,15:17:00,,715410,3450335,2.25,7.68,0.29
8,2019-05-23,15:47:00,15:59:00,,715410,3450335,,,
7,2020-05-23,1:41:00,1:41:00,,716171,3452700,2.48,9.7,0.26
13,2020-05-23,4:19:00,4:20:00,,717152,3448909,3.92,2.63,1.49
13,2020-05-23,7:38:00,7:41:00,,717152,3448909,,,
13,2020-05-23,12:12:00,12:16:00,,717152,3448909,,,
8,2020-05-23,14:46:00,15:05:00,,715410,3450335,2.25,2.5,0.9
28,2020-05-23,18:56:00,18:58:00,,722381,3444632,9.01,3.85,2.34
28,2020-05-23,20:37:00,20:52:00,,722381,3444632,,,
13,2020-05-23,20:39:00,20:42:00,,717152,3448909,6.76,-0.22,-31.18
13,2020-05-23,21:26:00,21:27:00,,717152,3448909,,0.57,11.92
7,2021-05-23,11:06:51,11:14:14,,716171,3452700,3.92,13.66,0.29
9,2021-05-23,12:00:01,12:01:15,,714648,3447970,4.97,0.76,6.51
15,2021-05-23,18:03:58,18:11:27,,715629,3444180,3.92,6.05,0.65
18,2021-05-23,22:52:18,22:59:50,,718895,3447483,4.65,4.68,0.99
12,2021-05-23,23:34:56,23:48:56,,717913,3451274,3.92,0.59,6.69
4,2022-05-23,2:40:33,2:41:43,,712906,3449397,5.35,2.86,1.87
7,2022-05-23,3:01:41,3:50:57,,716171,3452700,4.64,0.33,13.96
9,2022-05-23,5:25:05,5:25:41,,714648,3447970,4.97,1.57,3.17
8,2022-05-23,6:56:24,6:56:24,,715410,3450335,2.48,1.51,1.64
18,2022-05-23,13:26:11,13:37:11,,718895,3447483,4.5,6.5,0.69
12,2022-05-23,14:17:31,14:17:41,,717913,3451274,3.92,0.67,5.83
18,2022-05-23,17:11:41,17:12:11,,718895,3447483,3.92,2.9,1.35
14,2022-05-23,21:39:11,21:42:12,,716391,3446544,2.67,4.45,0.6
