"Species_name","tabulated_diel","tips"
"Addax nasomaculatus","nocturnal/crepuscular","Addax_nasomaculatus"
"Aepyceros melampus","diurnal","Aepyceros_melampus"
"Alcelaphus buselaphus","diurnal/crepuscular","Alcelaphus_buselaphus"
"Alces alces","nocturnal/crepuscular","Alces_alces"
"Ammodorcas clarkei","diurnal","Ammodorcas_clarkei"
"Ammotragus lervia","diurnal/crepuscular","Ammotragus_lervia"
"Antidorcas marsupialis","cathemeral/crepuscular","Antidorcas_marsupialis"
"Antilocapra americana","diurnal","Antilocapra_americana"
"Antilope cervicapra","cathemeral/crepuscular","Antilope_cervicapra"
"Arabitragus jayakari","cathemeral/crepuscular","Arabitragus_jayakari"
"Axis axis","cathemeral/crepuscular","Axis_axis"
"Axis calamianensis","cathemeral/crepuscular","Axis_calamianensis"
"Axis kuhlii","cathemeral","Axis_kuhlii"
"Axis porcinus","cathemeral/crepuscular","Axis_porcinus"
"Babyrousa babyrussa","diurnal","Babyrousa_babyrussa"
"Babyrousa celebensis","diurnal","Babyrousa_celebensis"
"Babyrousa togeanensis","diurnal/crepuscular","Babyrousa_togeanensis"
"Beatragus hunteri","cathemeral/crepuscular","Beatragus_hunteri"
"Bison bison","diurnal/crepuscular","Bison_bison"
"Bison bonasus","cathemeral","Bison_bonasus"
"Blastocerus dichotomus","cathemeral/crepuscular","Blastocerus_dichotomus"
"Bos gaurus","cathemeral/crepuscular","Bos_gaurus"
"Bos javanicus","cathemeral","Bos_javanicus"
"Bos mutus","diurnal","Bos_mutus"
"Bos sauveli","cathemeral","Bos_sauveli"
"Boselaphus tragocamelus","nocturnal/crepuscular","Boselaphus_tragocamelus"
"Bubalus arnee","diurnal","Bubalus_arnee"
"Bubalus bubalis","cathemeral","Bubalus_bubalis"
"Bubalus depressicornis","nocturnal/crepuscular","Bubalus_depressicornis"
"Bubalus mindorensis","cathemeral","Bubalus_mindorensis"
"Bubalus quarlesi","cathemeral/crepuscular","Bubalus_quarlesi"
"Budorcas taxicolor","diurnal/crepuscular","Budorcas_taxicolor"
"Camelus bactrianus","diurnal","Camelus_bactrianus"
"Camelus dromedarius","diurnal","Camelus_dromedarius"
"Camelus ferus","cathemeral/crepuscular","Camelus_ferus"
