"tips","max_crep","Diel_Pattern","Order","Family","AdultBodyMass_g","AdultHeadBodyLen_mm","DietBreadth","HabitatBreadth","HomeRange_km2","SocialGrpSize","Terrestriality","TrophicLevel","GR_Area_km2","GR_MidRangeLat_dd","GR_MaxLat_dd","GR_MinLat_dd","GR_MaxLong_dd","GR_MinLong_dd","GR_MidRangeLong_dd","Orbit_ratio","Species_name","min_lat","max_lat","mean_lat"
"Addax_nasomaculatus","crepuscular","nocturnal/crepuscular","Artiodactyla","Bovidae",96077.36,NA,5,1,NA,12.62,1,1,1168708.88,20.52,26.45,14.6,32.63,-16.77,7.93,NA,"Addax nasomaculatus",15.6381355930001,22.5009301370001,19.0695328650001
"Aepyceros_melampus","diurnal","diurnal","Artiodactyla","Bovidae",52591.69,1420,2,1,1.97,15.25,1,1,3926868.66,-12.91,2.58,-28.42,40.84,11.71,26.27,NA,"Aepyceros melampus",-27.892464407,2.96303559200004,-12.4647144075
"Alcelaphus_buselaphus","crepuscular","diurnal/crepuscular","Artiodactyla","Bovidae",160937.86,1974.99,2,1,2.73,20,1,1,4706770.4,5.81,17.65,-6.03,45.78,-15.68,15.05,NA,"Alcelaphus buselaphus",-34.839764407,17.395335592,-8.72221440749996
"Alcelaphus_caama",NA,NA,"Artiodactyla","Bovidae",176115.97,NA,NA,NA,NA,NA,NA,NA,873624.18,-21.68,-16.05,-27.32,27.42,14.27,20.84,NA,NA,NA,NA,NA
"Alcelaphus_lichtensteinii",NA,NA,"Artiodactyla","Bovidae",168695.66,NA,3,1,4.41,10,1,1,2264335.8,-11.63,-1.36,-21.89,39.41,19.07,29.24,NA,NA,NA,NA,NA
"Alces_alces","crepuscular","nocturnal/crepuscular","Artiodactyla","Cervidae",461900.76,2930.47,1,1,71.75,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.930516444106201,"Alces alces",40.4737548780001,72.8179355930001,56.6458452355001
"Alces_americanus",NA,NA,"Artiodactyla","Cervidae",541460.44,2097.16,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammodorcas_clarkei","diurnal","diurnal","Artiodactyla","Bovidae",28049.81,1509.96,NA,1,NA,NA,1,NA,287056.65,6.18,9.57,2.79,50.02,43.14,46.58,NA,"Ammodorcas clarkei",4.33823559300004,7.96053223400003,6.14938391350003
"Ammotragus_lervia","crepuscular","diurnal/crepuscular","Artiodactyla","Bovidae",94202.22,1449.99,2,1,7.06,NA,1,1,1447450.84,24.84,35.21,14.47,36.55,-15.33,10.6,0.925496294392802,"Ammotragus lervia",14.3244868362952,36.7336284687181,25.5290576525066
"Antidorcas_marsupialis","crepuscular","cathemeral/crepuscular","Artiodactyla","Bovidae",33571.24,1055,2,1,NA,NA,1,1,1066805.09,-20.74,-12.52,-28.97,27.61,11.71,19.66,NA,"Antidorcas marsupialis",-33.7274644079999,-12.5216644069999,-23.1245644074999
"Antilocapra_americana","diurnal","diurnal","Artiodactyla","Antilocapridae",47450.01,1310,2,1,8.05,12,1,1,2009745.94,37.21,51.37,23.04,-95.02,-121.25,-108.14,NA,"Antilocapra americana",20.8517355920001,51.3781355930001,36.1149355925001
