"Species_name","Parvorder","Confidence","tips","column","value"
"Balaena mysticetus","Mysticeti","3,4,4,4,2","Balaena_mysticetus","Conf2","nocturnal"
"Balaena mysticetus","Mysticeti","3,4,4,4,2","Balaena_mysticetus","Conf2","nocturnal"
"Balaena mysticetus","Mysticeti","3,4,4,4,2","Balaena_mysticetus","Conf3","nocturnal/crepuscular"
"Balaena mysticetus","Mysticeti","3,4,4,4,2","Balaena_mysticetus","Conf4","cathemeral"
"Balaena mysticetus","Mysticeti","3,4,4,4,2","Balaena_mysticetus","Conf4","cathemeral"
"Balaenoptera acutorostrata","Mysticeti","3,3,4,3,4,4,2,2","Balaenoptera_acutorostrata","Conf2","diurnal/crepuscular"
"Balaenoptera acutorostrata","Mysticeti","3,3,4,3,4,4,2,2","Balaenoptera_acutorostrata","Conf3","nocturnal"
"Balaenoptera acutorostrata","Mysticeti","3,3,4,3,4,4,2,2","Balaenoptera_acutorostrata","Conf3","cathemeral"
"Balaenoptera acutorostrata","Mysticeti","3,3,4,3,4,4,2,2","Balaenoptera_acutorostrata","Conf3","diurnal"
"Balaenoptera acutorostrata","Mysticeti","3,3,4,3,4,4,2,2","Balaenoptera_acutorostrata","Conf4","diurnal"
"Balaenoptera acutorostrata","Mysticeti","3,3,4,3,4,4,2,2","Balaenoptera_acutorostrata","Conf4","diurnal"
"Balaenoptera acutorostrata","Mysticeti","3,3,4,3,4,4,2,2","Balaenoptera_acutorostrata","Conf4","nocturnal"
"Balaenoptera bonaerensis","Mysticeti","3,3,3,3,3, 4","Balaenoptera_bonaerensis","Conf3","cathemeral"
"Balaenoptera bonaerensis","Mysticeti","3,3,3,3,3, 4","Balaenoptera_bonaerensis","Conf3","cathemeral"
"Balaenoptera bonaerensis","Mysticeti","3,3,3,3,3, 4","Balaenoptera_bonaerensis","Conf3","cathemeral"
"Balaenoptera bonaerensis","Mysticeti","3,3,3,3,3, 4","Balaenoptera_bonaerensis","Conf3","nocturnal/cathemeral"
"Balaenoptera bonaerensis","Mysticeti","3,3,3,3,3, 4","Balaenoptera_bonaerensis","Conf3","nocturnal"
"Balaenoptera bonaerensis","Mysticeti","3,3,3,3,3, 4","Balaenoptera_bonaerensis","Conf4","cathemeral"
"Balaenoptera borealis","Mysticeti","4,3,3,2","Balaenoptera_borealis","Conf2","diurnal"
"Balaenoptera borealis","Mysticeti","4,3,3,2","Balaenoptera_borealis","Conf3","diurnal"
"Balaenoptera borealis","Mysticeti","4,3,3,2","Balaenoptera_borealis","Conf3","nocturnal"
"Balaenoptera borealis","Mysticeti","4,3,3,2","Balaenoptera_borealis","Conf4","cathemeral"
"Balaenoptera brydei","Mysticeti","4,3,3","Balaenoptera_brydei","Conf3","nocturnal"
"Balaenoptera brydei","Mysticeti","4,3,3","Balaenoptera_brydei","Conf3","nocturnal"
"Balaenoptera brydei","Mysticeti","4,3,3","Balaenoptera_brydei","Conf4","nocturnal"
"Balaenoptera edeni","Mysticeti","4,3,2","Balaenoptera_edeni","Conf2","unclear/crepuscular"
"Balaenoptera edeni","Mysticeti","4,3,2","Balaenoptera_edeni","Conf3","cathemeral"
"Balaenoptera edeni","Mysticeti","4,3,2","Balaenoptera_edeni","Conf4","diurnal"
"Balaenoptera musculus","Mysticeti","3,4,4,3,3,4,3,3,3","Balaenoptera_musculus","Conf3","diurnal"
"Balaenoptera musculus","Mysticeti","3,4,4,3,3,4,3,3,3","Balaenoptera_musculus","Conf3","nocturnal/crepuscular"
"Balaenoptera musculus","Mysticeti","3,4,4,3,3,4,3,3,3","Balaenoptera_musculus","Conf3","nocturnal/crepuscular"
"Balaenoptera musculus","Mysticeti","3,4,4,3,3,4,3,3,3","Balaenoptera_musculus","Conf3","nocturnal/crepuscular"
"Balaenoptera musculus","Mysticeti","3,4,4,3,3,4,3,3,3","Balaenoptera_musculus","Conf3","cathemeral"
"Balaenoptera musculus","Mysticeti","3,4,4,3,3,4,3,3,3","Balaenoptera_musculus","Conf3","nocturnal/crepuscular"
"Balaenoptera musculus","Mysticeti","3,4,4,3,3,4,3,3,3","Balaenoptera_musculus","Conf4","cathemeral"
"Balaenoptera musculus","Mysticeti","3,4,4,3,3,4,3,3,3","Balaenoptera_musculus","Conf4","nocturnal"
"Balaenoptera musculus","Mysticeti","3,4,4,3,3,4,3,3,3","Balaenoptera_musculus","Conf4","cathemeral"
"Balaenoptera musculus","Mysticeti","3,4,4,3,3,4,3,3,3","Balaenoptera_musculus","Conf4","cathemeral"
"Balaenoptera omurai","Mysticeti","3,3","Balaenoptera_omurai","Conf3","diurnal"
"Balaenoptera omurai","Mysticeti","3,3","Balaenoptera_omurai","Conf3","cathemeral"
"Balaenoptera physalus","Mysticeti","3,4,4,3,3,2,3,3,3,4,4","Balaenoptera_physalus","Conf2","cathemeral"
"Balaenoptera physalus","Mysticeti","3,4,4,3,3,2,3,3,3,4,4","Balaenoptera_physalus","Conf3","cathemeral"
"Balaenoptera physalus","Mysticeti","3,4,4,3,3,2,3,3,3,4,4","Balaenoptera_physalus","Conf3","cathemeral"
"Balaenoptera physalus","Mysticeti","3,4,4,3,3,2,3,3,3,4,4","Balaenoptera_physalus","Conf3","cathemeral"
"Balaenoptera physalus","Mysticeti","3,4,4,3,3,2,3,3,3,4,4","Balaenoptera_physalus","Conf3","nocturnal/crepuscular"
"Balaenoptera physalus","Mysticeti","3,4,4,3,3,2,3,3,3,4,4","Balaenoptera_physalus","Conf3","cathemeral"
"Balaenoptera physalus","Mysticeti","3,4,4,3,3,2,3,3,3,4,4","Balaenoptera_physalus","Conf3","nocturnal"
"Balaenoptera physalus","Mysticeti","3,4,4,3,3,2,3,3,3,4,4","Balaenoptera_physalus","Conf4","cathemeral"
"Balaenoptera physalus","Mysticeti","3,4,4,3,3,2,3,3,3,4,4","Balaenoptera_physalus","Conf4","cathemeral"
"Balaenoptera physalus","Mysticeti","3,4,4,3,3,2,3,3,3,4,4","Balaenoptera_physalus","Conf4","cathemeral"
"Balaenoptera physalus","Mysticeti","3,4,4,3,3,2,3,3,3,4,4","Balaenoptera_physalus","Conf4","cathemeral"
"Balaenoptera ricei","Mysticeti","4,4,3","Balaenoptera_ricei","Conf3","nocturnal"
"Balaenoptera ricei","Mysticeti","4,4,3","Balaenoptera_ricei","Conf4","diurnal"
"Balaenoptera ricei","Mysticeti","4,4,3","Balaenoptera_ricei","Conf4","diurnal"
"Berardius arnuxii","Odontoceti","1,1,1,1,1","Berardius_arnuxii","Conf1","diurnal"
"Berardius arnuxii","Odontoceti","1,1,1,1,1","Berardius_arnuxii","Conf1","diurnal"
"Berardius arnuxii","Odontoceti","1,1,1,1,1","Berardius_arnuxii","Conf1","cathemeral"
"Berardius bairdii","Odontoceti","3,4,4,3","Berardius_bairdii","Conf3","cathemeral"
"Berardius bairdii","Odontoceti","3,4,4,3","Berardius_bairdii","Conf3","diurnal/cathemeral"
"Berardius bairdii","Odontoceti","3,4,4,3","Berardius_bairdii","Conf4","cathemeral"
"Berardius bairdii","Odontoceti","3,4,4,3","Berardius_bairdii","Conf4","cathemeral"
"Caperea marginata","Mysticeti","1,1,1,3","Caperea_marginata","Conf1","nocturnal"
"Caperea marginata","Mysticeti","1,1,1,3","Caperea_marginata","Conf1","diurnal"
"Caperea marginata","Mysticeti","1,1,1,3","Caperea_marginata","Conf3","cathemeral"
"Cephalorhynchus commersonii","Odontoceti","5,2,2,3,2,2","Cephalorhynchus_commersonii","Conf2","cathemeral"
"Cephalorhynchus commersonii","Odontoceti","5,2,2,3,2,2","Cephalorhynchus_commersonii","Conf3","cathemeral"
"Cephalorhynchus commersonii","Odontoceti","5,2,2,3,2,2","Cephalorhynchus_commersonii","Conf5","diurnal"
"Cephalorhynchus eutropia","Odontoceti","2,2,2,3","Cephalorhynchus_eutropia","Conf2","nocturnal"
"Cephalorhynchus eutropia","Odontoceti","2,2,2,3","Cephalorhynchus_eutropia","Conf3","cathemeral"
