"tips","Parvorder","Family","Diel_Pattern","max_crep","Confidence","Dive_duration","Body_length_m","Orbit_ratio","Diet","Brain_mass_g","Encephalization_quotient","Longevity_days","Sexual_maturity_days","Group_size","IUCN","Dive_depth_m","Mean_dive_depth_m","Body_mass_kg","Average_body_mass_kg","Habitat","Feeding_method","Divetype","Species_name","max_lat","mean_lat"
"Balaena_mysticetus","Mysticeti","Balaenidae","cathemeral","cathemeral",4,80,20,9.6752035829063,"zooplankton + fish",NA,NA,"36,500",5475,2,"least_concern",416,377.333333333333,1e+05,92500,"pelagic","Skim","mid","Balaena mysticetus",83.897561405,66.8190735410001
"Balaenoptera_acutorostrata","Mysticeti","Balaenopteridae","diurnal","diurnal",4,NA,NA,22.2157,"zooplankton + fish",NA,NA,"9490",3102.5,1.5,"least_concern",118,118,9000,7610,"pelagic","Lunge","shallow","Balaenoptera acutorostrata",84.084471933,4.11136516550004
"Balaenoptera_bonaerensis","Mysticeti","Balaenopteridae","cathemeral","cathemeral",4,NA,NA,NA,"zooplankton + fish",NA,NA,"14,600",2555,3.6,"near_threatened",105,105,11050,9725,"pelagic","Lunge","shallow","Balaenoptera bonaerensis",5.67140000000006,-39.8987499999999
"Balaenoptera_borealis","Mysticeti","Balaenopteridae","cathemeral","cathemeral",4,NA,NA,14.7317,"zooplankton + fish","4900",0.43,"20,622.50",3102.5,1.8,"endangered",57,57,45000,31758,"pelagic",NA,"shallow","Balaenoptera borealis",75.9723004990001,-0.832549512999954
"Balaenoptera_brydei","Mysticeti","Balaenopteridae","nocturnal","nocturnal",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267,267,NA,NA,NA,NA,"mid",NA,NA,NA
"Balaenoptera_edeni","Mysticeti","Balaenopteridae","diurnal","diurnal",4,20,16.5,14.2988284,"zooplankton + fish",NA,NA,NA,4197.5,1.4,"least_concern",300,218.333333333333,40000,24766.6666666667,"pelagic","Lunge","mid","Balaenoptera edeni",47.5874148408454,1.19503766592281
"Balaenoptera_musculus","Mysticeti","Balaenopteridae","cathemeral","cathemeral",4,NA,NA,NA,"zooplankton + fish","3636",0.09,"24,637.50",3650,1,"endangered",506,506,190000,146106.75,"pelagic",NA,"deep","Balaenoptera musculus",79.2291700519982,-3.17679683278227
"Balaenoptera_omurai","Mysticeti","Balaenopteridae","cathemeral","cathemeral",3,NA,NA,NA,"zooplankton + fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pelagic","Filter",NA,"Balaenoptera omurai",36.3713488642587,-0.186997778074954
"Balaenoptera_physalus","Mysticeti","Balaenopteridae","cathemeral","cathemeral",4,30,24,12.27531,"zooplankton + fish","7111.43",0.23,"36,500",2920,2.8,"vulnerable",528,518.666666666667,90000,84754.3333333333,"pelagic","Lunge","deep","Balaenoptera physalus",80.3088693089991,0.173899899000162
"Balaenoptera_ricei","Mysticeti","Balaenopteridae","diurnal","diurnal",4,NA,NA,NA,"zooplankton + fish",NA,NA,NA,NA,NA,NA,270,270,NA,NA,"pelagic","Filter","mid","Balaenoptera ricei",30.1474895282192,28.4460377016287
"Berardius_arnuxii","Odontoceti","Ziphiidae","diurnal","diurnal",1,NA,NA,NA,"cephalopods + fish",NA,NA,"19,710",4562.5,4,"least_concern",NA,NA,9000,8600,"pelagic","Suction","verydeep_low_conf","Berardius arnuxii",-23.1313435610428,-51.0420967623292
"Berardius_bairdii","Odontoceti","Ziphiidae","cathemeral","cathemeral",4,67,11.1,15.16077,"cephalopods + fish",NA,NA,"19,710",4562.5,5.5,"least_concern",1566,1444,13000,8375.41666666667,"pelagic","Suction","verydeep","Berardius bairdii",66.3916625156496,44.1905023861798
"Berardius_minimus","Odontoceti","Ziphiidae",NA,NA,0,NA,NA,21.51527432023,"cephalopods + fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pelagic","Suction",NA,NA,NA,NA
"Caperea_marginata","Mysticeti","Neobalaenidae","cathemeral","cathemeral",3,NA,NA,22.650844,"zooplankton + fish",NA,NA,NA,NA,5,"least_concern",NA,NA,4500,4038,"pelagic","Skim",NA,"Caperea marginata",-18.798907415,-40.0125924055
"Cephalorhynchus_commersonii","Odontoceti","Delphinidae","cathemeral","cathemeral",5,NA,NA,30.72825,"cephalopods + fish",NA,NA,"6570",2190,3,"least_concern",100,100,86,73.6166666666667,"coastal","Raptorial","shallow","Cephalorhynchus commersonii",-42.090212655,-49.1016839624999
"Cephalorhynchus_eutropia","Odontoceti","Delphinidae","cathemeral","cathemeral",3,NA,NA,36.2246,"cephalopods + fish",NA,NA,NA,NA,5,"near_threatened",20,20,75,69,"coastal","Raptorial","shallow","Cephalorhynchus eutropia",-33.092932827,-44.545317046
"Cephalorhynchus_heavisidii","Odontoceti","Delphinidae","nocturnal/crepuscular","crepuscular",4,NA,NA,26.91649,"cephalopods + fish",NA,NA,NA,NA,3.2,"near_threatened",166,166,75,73.61,"coastal","Raptorial","shallow","Cephalorhynchus heavisidii",-14.7037258149999,-24.4878911974999
"Cephalorhynchus_hectori","Odontoceti","Delphinidae","cathemeral","cathemeral",4,NA,NA,30.68095,"cephalopods + fish",NA,NA,"7300",2737.5,5,"endangered",NA,NA,61.75,60.875,"coastal","Raptorial",NA,"Cephalorhynchus hectori",-35.6400833129999,-41.3590098024999
"Delphinapterus_leucas","Odontoceti","Monodontidae","diurnal","diurnal",5,25,5.5,23.81195,"cephalopods + fish","2083",2.06,"14,600",1825,6,"least_concern",1275,1137.5,1600,1359,"coastal/pelagic","Suction","verydeep","Delphinapterus leucas",83.1683669780001,63.8405690660001
"Delphinus_delphis","Odontoceti","Delphinidae","nocturnal","nocturnal",4,5,2.5,28.2617787657773,"cephalopods + fish","810.9",4.41,"9672.5",2956.5,55,"least_concern",258,238.666666666667,235,173.5,"coastal/pelagic","Raptorial","mid","Delphinus delphis",62.6856355928084,5.64552293433599
"Eschrichtius_robustus","Mysticeti","Eschrichtiidae","cathemeral","cathemeral",5,26,15,15.3181196260741,"benthic invertebrates + fish","4316.67",0.23,"29,200",2920,1,"least_concern",170,170,45000,42000,"coastal","Suction","shallow","Eschrichtius robustus",72.398035593,46.157758031
"Eubalaena_australis","Mysticeti","Balaenidae","nocturnal/crepuscular","crepuscular",3,50,17,8.03695715511241,"zooplankton + fish",NA,NA,NA,2555,4,"least_concern",184,184,80000,61393.5,"pelagic","Skim","mid","Eubalaena australis",-12.1810789109999,-40.4061827659999
"Eubalaena_glacialis","Mysticeti","Balaenidae","cathemeral/crepuscular","crepuscular",4,NA,NA,NA,"zooplankton + fish",NA,NA,"25,550",2920,1.5,"critically_endangered",175,175,95000,76525,NA,NA,"shallow","Eubalaena glacialis",71.5981782469286,47.1115137831347
"Eubalaena_japonica","Mysticeti","Balaenidae","nocturnal","nocturnal",3,NA,NA,NA,"zooplankton + fish",NA,NA,NA,NA,NA,"endangered",NA,NA,90700,90700,"pelagic","Skim",NA,"Eubalaena japonica",66.391662597,45.406834028
"Feresa_attenuata","Odontoceti","Delphinidae","nocturnal","nocturnal",4,NA,NA,27.8615166666667,"cephalopods + fish",NA,NA,NA,NA,15.2,"least_concern",364,344,225,189.5,"pelagic","Raptorial","mid","Feresa attenuata",44.3965737809998,3.91381092400024
"Globicephala_macrorhynchus","Odontoceti","Delphinidae","nocturnal","nocturnal",4,NA,NA,NA,"cephalopods + fish","-",NA,"22,630",3193.75,31.7,"least_concern",1168,1118.33333333333,3600,2246,"pelagic",NA,"verydeep","Globicephala macrorhynchus",58.1619033369958,9.99218100749817
"Globicephala_melas","Odontoceti","Delphinidae","nocturnal","nocturnal",4,20,6.7,23.7645666666667,"cephalopods + fish","3152.8",2.45,"21,535",2920,56,"least_concern",828,773.5,3800,2322.4,"pelagic","Suction","deep","Globicephala melas",72.9358419690001,3.11700555900023
"Grampus_griseus","Odontoceti","Delphinidae","nocturnal/crepuscular","crepuscular",4,NA,NA,23.7357666666667,"cephalopods + fish","2551",4.4,"12,592.50",3285,11.6,"least_concern",566,544,500,430.666666666667,"pelagic","Suction","deep","Grampus griseus",61.505149841,4.20671499250005
"Hyperoodon_ampullatus","Odontoceti","Ziphiidae","cathemeral","cathemeral",4,120,10,17.2414,"cephalopods + fish",NA,NA,"13,505",3650,2.75,"near_threatened",1453,1302,10000,7912.5,"pelagic","Suction","verydeep","Hyperoodon ampullatus",75.102571487,44.6274452205001
"Hyperoodon_planifrons","Odontoceti","Ziphiidae","diurnal/crepuscular","crepuscular",3,NA,NA,NA,"cephalopods + fish",NA,NA,NA,NA,3.9,"least_concern",NA,NA,8000,7061.75,"pelagic",NA,NA,"Hyperoodon planifrons",-19.5227050774855,-49.7373046871888
"Indopacetus_pacificus","Odontoceti","Ziphiidae","nocturnal/crepuscular","crepuscular",3,NA,NA,30.78672,"cephalopods + fish",NA,NA,NA,NA,NA,"least_concern",NA,NA,4000,4000,"pelagic","Suction",NA,"Indopacetus pacificus",37.0621062823665,3.57198227283118
"Inia_araguaiaensis","Odontoceti","Iniiae",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inia_boliviensis","Odontoceti","Iniiae","nocturnal","nocturnal",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inia_geoffrensis","Odontoceti","Iniiae","cathemeral","cathemeral",5,NA,NA,19.1042425,"fish","633.7",2.51,"7300",1825,1,"endangered",NA,NA,270,189.667833333333,"riverine","Raptorial","shallow_low_conf","Inia geoffrensis",9.63607641400006,-4.21277998249994
"Inia_humboldtiana","Odontoceti","Iniiae","nocturnal","nocturnal",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kogia_breviceps","Odontoceti","Kogiidae","nocturnal/crepuscular","crepuscular",4,NA,NA,22.1043333333333,"cephalopods + fish","1019",1.6,"7300",1825,3,"least_concern",NA,NA,680,478,"pelagic","Suction","deep_low_conf","Kogia breviceps",57.2283809247347,4.49533864487508
"Kogia_sima","Odontoceti","Kogiidae","cathemeral","cathemeral",3,NA,NA,NA,"cephalopods + fish","622",1.08,NA,1825,1.6,"least_concern",NA,NA,291,282,"pelagic","Suction","deep_low_conf","Kogia sima",45.9753990219472,2.67492393369269
"Lagenodelphis_hosei","Odontoceti","Delphinidae","nocturnal","nocturnal",3,NA,2.7,26.2538798407867,"cephalopods + fish",NA,NA,"6387.5",2372.5,167,"least_concern",600,566.666666666667,210,204.125,"pelagic","Raptorial/Suction","deep","Lagenodelphis hosei",41.0432817970001,2.54929525800006
"Lagenorhynchus_acutus","Odontoceti","Delphinidae","nocturnal","nocturnal",3,NA,NA,24.9147666666667,"cephalopods + fish","1200",2.67,"9855",3285,40,"least_concern",191,160.666666666667,250,230,"coastal/pelagic","Raptorial","mid","Lagenorhynchus acutus",77.4055118558875,58.2338428495179
