"IUCN","Active_range","body_weight","tips"
"least_concern","pelagic",100,"Balaena_mysticetus"
"least_concern","pelagic",9,"Balaenoptera_acutorostrata"
"near_threatened","pelagic",11.05,"Balaenoptera_bonaerensis"
"endangered","pelagic",45,"Balaenoptera_borealis"
"least_concern","pelagic",18.5,"Balaenoptera_edeni"
"endangered","pelagic",190,"Balaenoptera_musculus"
"vulnerable","pelagic",90,"Balaenoptera_physalus"
"least_concern","pelagic",8.2,"Berardius_arnuxii"
"least_concern","pelagic",13,"Berardius_bairdii"
"least_concern","pelagic",4.5,"Caperea_marginata"
"least_concern","coastal",0.086,"Cephalorhynchus_commersonii"
"near_threatened","coastal",0.075,"Cephalorhynchus_eutropia"
"near_threatened","coastal",0.075,"Cephalorhynchus_heavisidii"
"endangered","coastal",0.06,"Cephalorhynchus_hectori"
"least_concern","pelagic",1.6,"Delphinapterus_leucas"
"least_concern","coastal",0.235,"Delphinus_delphis"
"least_concern","coastal",45,"Eschrichtius_robustus"
"least_concern","pelagic",73,"Eubalaena_australis"
"critically_endangered","coastal",95,"Eubalaena_glacialis"
"endangered","pelagic",90.7,"Eubalaena_japonica"
"least_concern","pelagic",0.225,"Feresa_attenuata"
"least_concern","pelagic",3.6,"Globicephala_macrorhynchus"
"least_concern","pelagic",3.8,"Globicephala_melas"
"least_concern","coastal",0.5,"Grampus_griseus"
"near_threatened","pelagic",7.5,"Hyperoodon_ampullatus"
"least_concern","pelagic",8,"Hyperoodon_planifrons"
"least_concern","pelagic",4,"Indopacetus_pacificus"
"endangered","riverine",0.27,"Inia_geoffrensis"
"least_concern","pelagic",0.42,"Kogia_breviceps"
"least_concern","pelagic",0.275,"Kogia_sima"
"least_concern","pelagic",0.21,"Lagenodelphis_hosei"
"least_concern","coastal",0.25,"Lagenorhynchus_acutus"
"least_concern","coastal",0.35,"Lagenorhynchus_albirostris"
"least_concern","coastal",0.115,"Lagenorhynchus_australis"
"least_concern","pelagic",0.094,"Lagenorhynchus_cruciger"
"least_concern","pelagic",0.2,"Lagenorhynchus_obliquidens"
"least_concern","coastal",0.085,"Lagenorhynchus_obscurus"
"critically_endangered","riverine",0.23,"Lipotes_vexillifer"
"least_concern","pelagic",0.115,"Lissodelphis_borealis"
"least_concern","pelagic",0.1,"Lissodelphis_peronii"
"least_concern","pelagic",40,"Megaptera_novaeangliae"
"least_concern","pelagic",1.3,"Mesoplodon_bidens"
"least_concern","pelagic",1.03,"Mesoplodon_densirostris"
"least_concern","pelagic",1.2,"Mesoplodon_europaeus"
"least_concern","pelagic",5,"Mesoplodon_grayi"
"least_concern","pelagic",2.7,"Mesoplodon_layardii"
"least_concern","pelagic",1.4,"Mesoplodon_mirus"
"endangered","pelagic",1.5,"Mesoplodon_perrini"
"least_concern","coastal",0.8,"Mesoplodon_peruvianus"
"near_threatened","pelagic",1.5,"Mesoplodon_stejnegeri"
"least_concern","pelagic",1.6,"Monodon_monoceros"
"endangered","coastal",0.08,"Neophocaena_asiaeorientalis"
"vulnerable","coastal",0.08,"Neophocaena_phocaenoides"
"endangered","coastal",0.13,"Orcaella_brevirostris"
"vulnerable","coastal",0.133,"Orcaella_heinsohni"
"least_concern","pelagic",0.275,"Peponocephala_electra"
"least_concern","pelagic",0.115,"Phocoena_dioptrica"
"least_concern","coastal",0.07,"Phocoena_phocoena"
"critically_endangered","coastal",0.05,"Phocoena_sinus"
"near_threatened","coastal",0.085,"Phocoena_spinipinnis"
"least_concern","pelagic",0.22,"Phocoenoides_dalli"
"vulnerable","pelagic",45,"Physeter_macrocephalus"
"endangered","riverine",0.09,"Platanista_gangetica"
"vulnerable","coastal",0.05,"Pontoporia_blainvillei"
"near_threatened","pelagic",2.2,"Pseudorca_crassidens"
"endangered","coastal",0.055,"Sotalia_fluviatilis"
"near_threatened","coastal",0.12,"Sotalia_guianensis"
"vulnerable","coastal",0.28,"Sousa_chinensis"
"endangered","coastal",0.28,"Sousa_plumbea"
"vulnerable","coastal",0.24,"Sousa_sahulensis"
"critically_endangered","coastal",0.15,"Sousa_teuszii"
"least_concern","pelagic",0.165,"Stenella_attenuata"
"least_concern","pelagic",0.085,"Stenella_clymene"
"least_concern","pelagic",0.16,"Stenella_coeruleoalba"
"least_concern","coastal",0.14,"Stenella_frontalis"
"least_concern","pelagic",0.082,"Stenella_longirostris"
"least_concern","pelagic",0.16,"Steno_bredanensis"
"near_threatened","coastal",0.23,"Tursiops_aduncus"
"least_concern","pelagic",0.65,"Tursiops_truncatus"
"least_concern","pelagic",3,"Ziphius_cavirostris"
