"Dive_depth","Dive_duration","Mass","Total_body_length","tips"
300,80,90000,20,"Balaena_mysticetus"
184,50,80000,17,"Eubalaena_australis"
170,26,45000,15,"Eschrichtius_robustus"
300,20,40000,16.5,"Balaenoptera_edeni"
500,30,90000,24,"Balaenoptera_physalus"
3200,138,57000,18.3,"Physeter_macrocephalus"
1000,120,7500,10,"Hyperoodon_ampullatus"
1200,67,12000,11.1,"Berardius_bairdii"
1070,58,3000,7,"Ziphius_cavirostris"
1400,54,1033,4.7,"Mesoplodon_densirostris"
1000,25,1600,5.5,"Delphinapterus_leucas"
1200,25,1600,4.8,"Monodon_monoceros"
226,12,70,1.89,"Phocoena_phocoena"
30,NA,35,1.5,"Phocoena_sinus"
180,NA,200,2.4,"Phocoenoides_dalli"
250,6,115,3.1,"Lissodelphis_borealis"
214,6,198,2.5,"Lagenorhynchus_obliquidens"
260,15,10000,9.8,"Orcinus_orca"
610,20,2300,6.7,"Globicephala_melas"
300,NA,2000,6,"Pseudorca_crassidens"
70,15,155,2.65,"Steno_bredanensis"
500,NA,210,2.7,"Lagenodelphis_hosei"
258,5,200,2.5,"Delphinus_delphis"
100,5,119,2.6,"Stenella_attenuata"
700,NA,156,2.56,"Stenella_coeruleoalba"
60,6,143,2.3,"Stenella_frontalis"
250,3,82,2.35,"Stenella_longirostris"
535,12,650,3.8,"Tursiops_truncatus"
