Genus_species,Male_body_mass(g),Female_Body_Mass(g),Average_Body_Mass(g),Brain_mass(g),Encephalization_quotient,Longevity(days),Sexual_maturity_age_females(days),Average_group_size,Group_size_range,Group_social_dynamics,Feeding_strategy
Balaena mysticetus,"75,000,000","100,000,000","87,500,000",,,"36,500",5475,2,14-Feb,Sol,SK/OCO
Eubalaena australis,"28,022,000","34,339,000","31,180,500",,,,2555,4,10-Jan,SSG,SK
Eubalaena glacialis,"67,200,000","48,900,000","58,050,000",,,"25,550",2920,1.5,1-100,Sol,SK
Eubalaena japonica,,,,,,,,,,,SK
Balaenoptera physalus,"65,767,000","82,759,000","74,263,000",7111.43,0.23,"36,500",2920,2.8,16-Jan,SSG,LF
Balaenoptera acutorostrata,"6,070,000","6,370,000","6,220,000",,,9490,3102.5,1.5,08-Jan,Sol,LF
Balaenoptera bonaerensis,"7,781,000","9,019,000","8,400,000",,,"14,600",2555,3.6,15-Jan,Sol,LF
Balaenoptera borealis,"17,318,000","19,714,000","18,516,000",4900,0.43,"20,622.50",3102.5,1.8,05-Jan,Sol,LF/SF
Balaenoptera edeni,"15,000,000","16,600,000","15,800,000",,,,4197.5,1.4,08-Jan,Sol,LF
Balaenoptera musculus,"90,885,000","113,542,000","102,213,500",3636,0.09,"24,637.50",3650,1,08-Jan,Sol,SwF
Megaptera novaeangliae,"27,700,000","32,400,000","30,050,000",6439,0.4,9125,1642.5,4.7,15-Jan,SSG,LF/CO
Eschrichtius robustus,"36,000,000","36,000,000","36,000,000",4316.67,0.23,"29,200",2920,1,05-Jan,Sol,SuF
Caperea marginata,"3,329,000","3,823,000","3,576,000",,,,,5,1-80,"SSG/
Sol",SF
Cephalorhynchus commersoni,"65,300","72,400","68,850",,,6570,2190,3,10-Jan,SSG,R/OCO
Cephalorhynchus eutropia,"63,000","63,000","63,000",,,,,5,10-Feb,SSG,R
Cephalorhynchus heavisidii,"76,660","65,000","70,830",,,,,3.2,10-Jan,SSG/Sol,R
Cephalorhynchus hectori,"58,500","65,000","61,750",,,7300,2737.5,5,10-Feb,SSG/FF?,R
Delphinus capensis,"160,000","109,000","134,500",,,9490,3102.5,302,"1-10,00",SG,R/CO
Deplhinus delphis,"62,500","55,500","59,000",810.9,4.41,9672.5,2956.5,55,3-300,SG/FF,R/CO
Feresa attenuata,"123,000","114,000","118,500",,,,,15.2,27-Oct,SG,R
Globicephala macrorhynchus,"1,211,000","573,000","892,000",-,,"22,630",3193.75,31.7,2-200,SG,R
Globicephala melas,"943,200","836,000","889,600",3152.8,2.45,"21,535",2920,56,1-275,SSG/FF?,R
Grampus griseus,"350,000","234,000","292,000",2551,4.4,"12,592.50",3285,11.6,1-80,SSG/FF?,R
Lagenodelphis hosei,"209,000","164,000","186,500",,,6387.5,2372.5,167,7-1000,SG,R/CO
Lagenorhynchus albirostris,"350,000","300,000","325,000",1126,1.8,,,30,20-1000,,
Lagenorhynchus australis,,"115,000",,,,,,3.5,05-Feb,SSG,R/CO
Lagenorhynchus cruciger,"94,000","88,200","91,100",,,,,5.6,31-Jan,SSG,R
Lagenirhynchus obliquidens,"105,000","77,100","91,050",1140,4.54,"16,790",2737.5,90,10-3000,SG,R
