_id,Body size,Diet,Divetype,Family,Feeding behaviour,Feeding1,Feeding2,Habitat ,Habitat1,Habitat2,Regime,Taxon
9,10000,generalist,verydeep,ziphiidae,suction,suction,suction,oceanic,oceanic,oceanic,purple,Hyperoodon_ampullatus
2,66,generalist,shallow,delphinidae,raptorial/suction,raptorial,suction,nearshore,nearshore,nearshore,black,Cephalorhynchus_commersonii
6,225,generalist,deep,delphinidae,raptorial,raptorial,raptorial,oceanic,oceanic,oceanic,black,Feresa_attenuata
15,350,fish,mid,delphinidae,raptorial,raptorial,raptorial,nearshore/oceanic,nearshore,oceanic,black,Lagenorhynchus_albirostris
1,9000,generalist,verydeep,ziphiidae,suction,suction,suction,oceanic,oceanic,oceanic,purple,Berardius_arnuxii
10,207,fish,shallow,iniidae,raptorial,raptorial,raptorial,riverine,riverine,riverine,black,Inia_geoffrensis
3,75,generalist,shallow,delphinidae,raptorial/suction,raptorial,suction,nearshore,nearshore,nearshore,black,Cephalorhynchus_heavisidii
14,235,fish,mid,delphinidae,raptorial/suction,raptorial,suction,nearshore/oceanic,nearshore,oceanic,black,Lagenorhynchus_acutus
23,500,unknown,verydeep,ziphiidae,suction,suction,suction,oceanic,oceanic,oceanic,purple,Mesoplodon_hectori
4,1600,fish,mid,mondontidae,suction,suction,suction,nearshore/oceanic,nearshore,oceanic,black,Delphinapterus_leucas
20,167,fish,shallow,lipotidae,raptorial,raptorial,raptorial,riverine,riverine,riverine,black,Lipotes_vexillifer
7,2300,generalist,deep,delphinidae,suction,suction,suction,nearshore/oceanic,nearshore,oceanic,black,Globicephala_melas
27,130,generalist,shallow,delphinidae,suction,suction,suction,riverine/nearshore,riverine,nearshore,black,Orcaella_brevirostris
24,1400,generalist,verydeep,ziphiidae,suction,suction,suction,oceanic,oceanic,oceanic,yellow,Mesoplodon_mirus
5,200,fish,mid,delphinidae,raptorial,raptorial,raptorial,nearshore/oceanic,nearshore,oceanic,black,Delphinus_delphis
32,105,generalist,shallow,phocoenidae,suction,suction,suction,nearshore,nearshore,nearshore,black,Phocoena_spinipinnis
16,115,generalist,shallow,delphinidae,raptorial,raptorial,raptorial,nearshore,nearshore,nearshore,black,Lagenorhynchus_australis
28,6600,generalist,shallow,delphinidae,raptorial/suction,raptorial,suction,nearshore/oceanic,nearshore,oceanic,black,Orcinus_orca
25,1800,generalist,deep,mondontidae,suction,suction,suction,nearshore/oceanic,nearshore,oceanic,black,Monodon_monoceros
8,500,cephalopods,deep,delphinidae,suction,suction,suction,nearshore/oceanic,nearshore,oceanic,black,Grampus_griseus
33,200,generalist,deep,phocoenidae,suction,suction,suction,nearshore/oceanic,nearshore,oceanic,green,Phocoenoides_dalli
18,198,fish,deep,delphinidae,raptorial,raptorial,raptorial,nearshore/oceanic,nearshore,oceanic,black,Lagenorhynchus_obliquidens
30,115,generalist,mid,phocoenidae,suction,suction,suction,nearshore/oceanic,nearshore,oceanic,black,Phocoena_dioptrica
