"tips","Final_dive_depth","Mean_dive_depth"
"Balaena_mysticetus",416,377.333333333333
"Balaenoptera_acutorostrata",118,118
"Balaenoptera_bonaerensis",105,105
"Balaenoptera_borealis",57,57
"Balaenoptera_brydei",267,267
"Balaenoptera_edeni",300,218.333333333333
"Balaenoptera_musculus",506,506
"Balaenoptera_physalus",528,518.666666666667
"Balaenoptera_ricei",270,270
"Berardius_bairdii",1566,1444
"Cephalorhynchus_commersonii",100,100
"Cephalorhynchus_eutropia",20,20
"Cephalorhynchus_heavisidii",166,166
"Delphinapterus_leucas",1275,1137.5
"Delphinus_delphis",258,238.666666666667
"Eschrichtius_robustus",170,170
"Eubalaena_australis",184,184
"Eubalaena_glacialis",175,175
"Feresa_attenuata",364,344
"Globicephala_macrorhynchus",1168,1118.33333333333
"Globicephala_melas",828,773.5
"Grampus_griseus",566,544
"Hyperoodon_ampullatus",1453,1302
"Lagenodelphis_hosei",600,566.666666666667
"Lagenorhynchus_acutus",191,160.666666666667
"Lagenorhynchus_albirostris",200,148.333333333333
"Lagenorhynchus_australis",20,20
"Lagenorhynchus_cruciger",200,200
"Lagenorhynchus_obliquidens",214,209.333333333333
"Lagenorhynchus_obscurus",200,185.333333333333
"Lissodelphis_borealis",250,250
"Megaptera_novaeangliae",616,616
"Mesoplodon_bidens",1386,1386
"Mesoplodon_densirostris",1500,1466.66666666667
"Mesoplodon_europaeus",872,872
"Mesoplodon_mirus",939,939
"Monodon_monoceros",1400,1250
"Neophocaena_asiaeorientalis",20,20
"Neophocaena_phocaenoides",20,20
"Orcaella_brevirostris",110,110
"Orcaella_heinsohni",30,30
"Orcinus_orca",768,640.75
"Peponocephala_electra",472,471.666666666667
"Phocoena_phocoena",226,226
"Phocoena_sinus",30,30
"Phocoenoides_dalli",180,151.333333333333
"Physeter_macrocephalus",3200,2568
"Pontoporia_blainvillei",35,35
"Pseudorca_crassidens",1424,1018.75
"Sotalia_guianensis",35,35
"Sousa_chinensis",30,30
"Sousa_plumbea",30,30
"Stenella_attenuata",213,184.75
"Stenella_clymene",700,700
"Stenella_coeruleoalba",700,700
"Stenella_frontalis",60,60
"Stenella_longirostris",600,392.5
"Steno_bredanensis",400,292.5
"Tursiops_aduncus",200,200
"Tursiops_truncatus",535,517.5
"Ziphius_cavirostris",2992,2351.33333333333
