"Diet","Dentition","FM","Habitat","tips"
"zooplankton + fish","edentulous - baleen","filter","pelagic","Balaena_mysticetus"
"zooplankton + fish","edentulous - baleen","filter","pelagic","Balaenoptera_acutorostrata"
"zooplankton + fish","edentulous - baleen","filter","pelagic","Balaenoptera_borealis"
"zooplankton + fish","edentulous - baleen","filter","pelagic","Balaenoptera_ricei"
"zooplankton + fish","edentulous - baleen","filter","pelagic","Balaenoptera_edeni"
"zooplankton + fish","edentulous - baleen","filter","pelagic","Balaenoptera_musculus"
"zooplankton + fish","edentulous - baleen","filter","pelagic","Balaenoptera_omurai"
"zooplankton + fish","edentulous - baleen","filter","pelagic","Balaenoptera_physalus"
"cephalopods + fish","reduced","suction","pelagic","Berardius_arnuxii"
"cephalopods + fish","reduced","suction","pelagic","Berardius_bairdii"
"cephalopods + fish","reduced","suction","pelagic","Berardius_minimus"
"zooplankton + fish","edentulous - baleen","filter","pelagic","Caperea_marginata"
"cephalopods + fish","homodont","biting","coastal","Cephalorhynchus_commersonii"
"cephalopods + fish","homodont","biting","coastal","Cephalorhynchus_eutropia"
"cephalopods + fish","homodont","biting","coastal","Cephalorhynchus_heavisidii"
"cephalopods + fish","homodont","biting","coastal","Cephalorhynchus_hectori"
"cephalopods + fish","homodont","suction","coastal-pelagic","Delphinapterus_leucas"
"cephalopods + fish","homodont","biting","coastal-pelagic","Delphinus_delphis"
"benthic invertebrates + fish","edentulous - baleen","suction","coastal-pelagic","Eschrichtius_robustus"
"zooplankton + fish","edentulous - baleen","filter","pelagic","Eubalaena_australis"
"zooplankton + fish","edentulous - baleen","filter","pelagic","Eubalaena_glacialis"
"cephalopods + fish","homodont","biting","pelagic","Feresa_attenuata"
"cephalopods + fish","homodont","suction","pelagic","Globicephala_macrorhynchus"
"cephalopods + fish","homodont","suction","pelagic","Globicephala_melas"
"cephalopods + fish","homodont","suction","pelagic","Grampus_griseus"
"cephalopods + fish","reduced","suction","pelagic","Hyperoodon_ampullatus"
"cephalopods + fish","reduced","suction","pelagic","Hyperoodon_planifrons"
"cephalopods + fish","reduced","suction","pelagic","Indopacetus_pacificus"
"fish","homodont","biting","riverine","Inia_geoffrensis"
"cephalopods + fish","homodont","suction","pelagic","Kogia_breviceps"
"cephalopods + fish","homodont","suction","pelagic","Kogia_sima"
"cephalopods + fish","homodont","biting","pelagic","Lagenodelphis_hosei"
"cephalopods + fish","homodont","biting","coastal-pelagic","Lagenorhynchus_acutus"
"cephalopods + fish","homodont","biting","coastal-pelagic","Lagenorhynchus_albirostris"
"cephalopods + fish","homodont","biting","coastal-pelagic","Lagenorhynchus_australis"
"cephalopods + fish","homodont","biting","coastal-pelagic","Lagenorhynchus_cruciger"
"cephalopods + fish","homodont","biting","coastal-pelagic","Lagenorhynchus_obliquidens"
"cephalopods + fish","homodont","biting","coastal-pelagic","Lagenorhynchus_obscurus"
"fish","homodont","biting","riverine","Lipotes_vexillifer"
"cephalopods + fish","homodont","biting","pelagic","Lissodelphis_borealis"
"cephalopods + fish","homodont","biting","pelagic","Lissodelphis_peronii"
"zooplankton + fish","edentulous - baleen","filter","pelagic","Megaptera_novaeangliae"
"cephalopods + fish","reduced","suction","pelagic","Mesoplodon_bidens"
"cephalopods + fish","reduced","suction","pelagic","Mesoplodon_bowdoini"
"cephalopods + fish","reduced","suction","pelagic","Mesoplodon_carlhubbsi"
"cephalopods + fish","reduced","suction","pelagic","Mesoplodon_densirostris"
"cephalopods + fish","reduced","suction","pelagic","Mesoplodon_europaeus"
"cephalopods + fish","reduced","suction","pelagic","Mesoplodon_ginkgodens"
"cephalopods + fish","reduced","suction","pelagic","Mesoplodon_grayi"
"cephalopods + fish","reduced","suction","pelagic","Mesoplodon_hectori"
"cephalopods + fish","reduced","suction","pelagic","Mesoplodon_hotaula"
"cephalopods + fish","reduced","suction","pelagic","Mesoplodon_layardii"
"cephalopods + fish","reduced","suction","pelagic","Mesoplodon_mirus"
"cephalopods + fish","reduced","suction","pelagic","Mesoplodon_perrini"
"cephalopods + fish","reduced","suction","pelagic","Mesoplodon_peruvianus"
"cephalopods + fish","reduced","suction","pelagic","Mesoplodon_stejnegeri"
"cephalopods + fish","reduced","suction","pelagic","Mesoplodon_traversii"
"cephalopods + fish","reduced","suction","coastal-pelagic","Monodon_monoceros"
"cephalopods + fish","homodont","biting","coastal","Neophocaena_asiaeorientalis"
"cephalopods + fish","homodont","biting","coastal","Neophocaena_phocaenoides"
"benthic invertebrates + fish","homodont","biting","coastal","Orcaella_brevirostris"
"benthic invertebrates + fish","homodont","biting","coastal","Orcaella_heinsohni"
"tetrapods + fish","homodont","biting","coastal-pelagic","Orcinus_orca"
"cephalopods + fish","homodont","biting","pelagic","Peponocephala_electra"
"cephalopods + fish","homodont","biting","coastal-pelagic","Phocoena_dioptrica"
"cephalopods + fish","homodont","biting","coastal","Phocoena_phocoena"
"cephalopods + fish","homodont","biting","coastal","Phocoena_sinus"
"cephalopods + fish","homodont","biting","coastal-pelagic","Phocoena_spinipinnis"
"cephalopods + fish","homodont","biting","coastal-pelagic","Phocoenoides_dalli"
"cephalopods + fish","homodont","suction","coastal-pelagic","Physeter_macrocephalus"
"fish","homodont","biting","riverine","Platanista_gangetica"
"cephalopods + fish","homodont","biting","coastal","Pontoporia_blainvillei"
"tetrapods + fish","homodont","biting","coastal-pelagic","Pseudorca_crassidens"
"fish","homodont","biting","coastal","Sotalia_guianensis"
"fish","homodont","biting","coastal","Sousa_chinensis"
"fish","homodont","biting","coastal","Sousa_plumbea"
"fish","homodont","biting","coastal","Sousa_sahulensis"
"fish","homodont","biting","coastal","Sousa_teuszii"
"cephalopods + fish","homodont","biting","pelagic","Stenella_attenuata"
"cephalopods + fish","homodont","biting","pelagic","Stenella_longirostris"
"cephalopods + fish","homodont","biting","pelagic","Steno_bredanensis"
"cephalopods + fish","reduced","suction","pelagic","Tasmacetus_shepherdi"
"cephalopods + fish","homodont","biting","coastal-pelagic","Tursiops_truncatus"
"cephalopods + fish","reduced","suction","pelagic","Ziphius_cavirostris"
