"Order","Family","AdultBodyMass_g","AdultHeadBodyLen_mm","DietBreadth","HabitatBreadth","HomeRange_km2","SocialGrpSize","Terrestriality","TrophicLevel","GR_Area_km2","GR_MidRangeLat_dd","GR_MaxLat_dd","GR_MinLat_dd","GR_MaxLong_dd","GR_MinLong_dd","GR_MidRangeLong_dd","tips"
"Artiodactyla","Camelidae",492714.47,NA,3,1,196.32,10,1,1,NA,NA,NA,NA,NA,NA,NA,"Camelus_dromedarius"
"Artiodactyla","Bovidae",800143.05,2700,3,NA,NA,40,NA,1,2294331.63,15.43,28.01,2.86,108.68,73.55,91.12,"Bos_frontalis"
"Artiodactyla","Bovidae",5e+05,NA,2,NA,NA,110,NA,1,1523540.07,34.27,38.88,29.66,99.23,75.91,87.57,"Bos_grunniens"
"Artiodactyla","Bovidae",635974.34,2075,2,1,NA,40,1,1,1687920.66,8.15,25.08,-8.78,118.35,94.94,106.64,"Bos_javanicus"
"Artiodactyla","Camelidae",554515.91,NA,2,1,NA,6.2,1,1,188693,41.34,44.71,37.98,97.58,90.75,94.17,"Camelus_bactrianus"
"Artiodactyla","Bovidae",791321.76,2175,2,1,NA,20,1,1,115557.18,13.76,15.48,12.04,107.85,102.98,105.42,"Bos_sauveli"
"Artiodactyla","Bovidae",618642.42,NA,NA,NA,10.04,NA,NA,NA,44447.62,13.46,15.08,11.85,108.99,107.08,108.04,"Bos_taurus"
"Artiodactyla","Bovidae",182253.04,2000,5,NA,NA,NA,NA,1,2192564.81,22.35,33,11.71,87.08,68.93,78,"Boselaphus_tragocamelus"
"Artiodactyla","Bovidae",58149.52,NA,NA,NA,NA,NA,NA,NA,32781.87,42.33,43.82,40.83,48.52,40,44.26,"Capra_caucasica"
"Artiodactyla","Bovidae",54303.37,1590,2,1,NA,NA,1,1,155075.85,33.87,38.9,28.84,75.48,65.04,70.26,"Capra_falconeri"
"Artiodactyla","Bovidae",47386.47,NA,2,NA,98.3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Capra_hircus"
"Artiodactyla","Bovidae",69546.83,NA,2,1,NA,NA,1,1,145098.13,45.83,47.9,43.76,15.5,4.76,10.13,"Capra_ibex"
"Artiodactyla","Cervidae",69499.99,NA,NA,NA,0.67,NA,NA,NA,2041090.04,17.25,28.58,5.91,89.82,73.11,81.46,"Axis_axis"
"Artiodactyla","Cervidae",39812.6,1387.44,NA,NA,NA,NA,NA,NA,1345.4,11.99,12.33,11.66,120.34,119.84,120.09,"Axis_calamianensis"
"Artiodactyla","Cervidae",54999.99,1375,2,NA,NA,NA,NA,1,197.86,-5.79,-5.72,-5.86,112.73,112.56,112.64,"Axis_kuhlii"
"Artiodactyla","Cervidae",37448.29,NA,3,NA,0.52,1.8,NA,1,2017514.05,20.57,32.58,8.55,107.57,67.83,87.7,"Axis_porcinus"
"Artiodactyla","Suidae",92950.09,950,6,1,NA,4.5,1,2,13309.7,-2.73,-1.62,-3.84,127.26,124.33,125.8,"Babyrousa_babyrussa"
"Artiodactyla","Suidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Babyrousa_bolabatuensis"
"Artiodactyla","Suidae",NA,NA,NA,NA,NA,NA,NA,NA,47657.62,-1.37,1.55,-4.31,125.29,119.82,122.55,"Babyrousa_celebensis"
"Artiodactyla","Bovidae",19094.32,1041.8,7,1,NA,NA,1,2,726891.4,6.79,9.29,4.29,6.75,-13.29,-3.26,"Cephalophus_niger"
"Artiodactyla","Bovidae",14676.33,944.21,4,1,NA,NA,1,1,2766201.07,-2.36,5.12,-9.85,37.79,8.69,23.24,"Cephalophus_nigrifrons"
"Artiodactyla","Bovidae",18386.42,1000,NA,NA,0.07,NA,NA,NA,231511.16,1.84,7.15,-3.46,12.62,5.99,9.31,"Cephalophus_ogilbyi"
"Artiodactyla","Bovidae",12114.57,650,5,1,NA,1,1,2,3098970.49,9.41,16.1,2.73,31.61,-17.53,7.03,"Cephalophus_rufilatus"
"Artiodactyla","Bovidae",62006.6,1324.76,5,1,NA,1,1,2,6018051.89,-1.89,13.58,-17.38,37.39,-16.79,10.29,"Cephalophus_silvicultor"
"Artiodactyla","Bovidae",56857.02,1174.48,3,1,NA,NA,1,1,36583.37,-6.04,-2.6,-9.48,38.83,33.33,36.08,"Cephalophus_spadix"
"Artiodactyla","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,1692834.41,-0.83,5.14,-6.81,37.26,16.17,26.72,"Cephalophus_weynsi"
"Artiodactyla","Bovidae",15654.75,874.99,3,1,NA,NA,1,2,171546.51,6.45,8.55,4.35,-5.5,-11.79,-8.64,"Cephalophus_zebra"
"Artiodactyla","Cervidae",240867.13,2136.72,5,1,58.42,17.5,1,1,14167735.33,46.41,64.59,28.23,141.54,-124.73,8.4,"Cervus_elaphus"
"Artiodactyla","Cervidae",52999.99,1200.51,2,1,1.43,7.5,1,1,2714652.61,33.97,47.71,20.22,145.82,107.98,126.9,"Cervus_nippon"
"Artiodactyla","Bovidae",624577.07,2849.24,2,2,47.39,30,1,1,10388.04,44.31,44.97,43.65,-109.99,-111.12,-110.56,"Bison_bison"
"Artiodactyla","Bovidae",675876.7,2900,2,2,7.91,35,1,1,NA,NA,NA,NA,NA,NA,NA,"Bison_bonasus"
"Artiodactyla","Suidae",NA,NA,NA,NA,NA,NA,NA,NA,536.65,-0.4,-0.23,-0.57,122.14,121.64,121.89,"Babyrousa_togeanensis"
"Artiodactyla","Cervidae",112518.53,1720,3,1,NA,3,1,1,2004539.09,-19.49,-3.88,-35.1,-46.54,-69.28,-57.91,"Blastocerus_dichotomus"
"Artiodactyla","Bovidae",20000,849.99,4,1,0.27,1,1,2,2874503.05,1.14,9.35,-7.06,30.66,-13.29,8.68,"Cephalophus_dorsalis"
"Artiodactyla","Bovidae",68489.54,1349.99,4,NA,NA,NA,NA,1,130952.07,6.79,9.22,4.35,-4.91,-13.2,-9.05,"Cephalophus_jentinki"
"Artiodactyla","Bovidae",13208.69,939.32,5,1,NA,NA,1,2,1396673.01,-0.45,5.15,-6.05,30.64,8.69,19.67,"Cephalophus_leucogaster"
"Artiodactyla","Bovidae",12724.51,786.14,4,1,0.06,2,1,1,1208751.28,-19.25,-7.38,-31.13,40.84,29.23,35.03,"Cephalophus_natalensis"
"Artiodactyla","Camelidae",78322.67,1595.1,2,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"Lama_glama"
"Artiodactyla","Bovidae",39999.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eudorcas_rufina"
"Artiodactyla","Bovidae",22907.43,885,2,1,NA,NA,1,1,515821.13,1.91,9.45,-5.61,38.38,30.41,34.4,"Eudorcas_thomsonii"
"Artiodactyla","Bovidae",24124.67,1000,2,NA,NA,NA,NA,1,17363.03,13.73,14.41,13.05,45.72,43.57,44.65,"Gazella_arabica"
"Artiodactyla","Bovidae",18916.67,NA,NA,NA,NA,NA,NA,NA,1733312.37,24.85,34.26,15.43,84.07,64.49,74.28,"Gazella_bennettii"
"Artiodactyla","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,1047003.29,30.43,37.09,23.78,10.11,-15.82,-2.85,"Gazella_cuvieri"
"Artiodactyla","Bovidae",15635.95,965.68,6,1,15.52,6.75,1,2,10374953.94,23.6,37.34,9.86,49.71,-17.1,16.3,"Gazella_dorcas"
"Artiodactyla","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,153353.23,14.99,17.38,12.59,46.73,42.59,44.66,"Gazella_erlangeri"
"Artiodactyla","Bovidae",21306.83,1012.85,3,1,1.46,7.2,1,1,1151478.67,23.49,34.39,12.59,59.83,34.37,47.1,"Gazella_gazella"
"Artiodactyla","Bovidae",24645.75,1032.67,2,1,NA,NA,1,1,2188576.06,24.82,34.3,15.34,30.94,-8.69,11.12,"Gazella_leptoceros"
"Artiodactyla","Bovidae",16000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gazella_saudiya"
"Artiodactyla","Bovidae",20000,885,NA,1,NA,14.25,1,NA,170828.32,6.47,10.91,2.02,51.41,44,47.71,"Gazella_spekei"
"Artiodactyla","Bovidae",26981.37,957.35,3,1,NA,5.5,1,1,8787218.98,32.06,49.21,14.92,117.89,33.79,75.84,"Gazella_subgutturosa"
"Artiodactyla","Bovidae",79132.17,1600,1,1,NA,13.5,1,1,30188.68,-0.57,0.8,-1.95,42.52,39.93,41.23,"Beatragus_hunteri"
"Artiodactyla","Bovidae",929500.97,2649.52,2,1,3.63,NA,1,1,978657.33,20.98,27.44,14.51,100,84.68,92.34,"Bubalus_bubalis"
"Artiodactyla","Bovidae",256989.27,1728.58,3,1,NA,1,1,1,41026.7,-1.33,0.85,-3.51,123.99,119.57,121.78,"Bubalus_depressicornis"
"Artiodactyla","Bovidae",254389.74,2199.99,2,1,NA,1,1,1,9912.75,12.86,13.53,12.2,121.55,120.29,120.92,"Bubalus_mindorensis"
"Artiodactyla","Bovidae",181718.86,1577.97,3,NA,NA,1,NA,1,56312.24,-2.33,0.79,-5.45,123.6,119.41,121.51,"Bubalus_quarlesi"
"Artiodactyla","Bovidae",294515.33,1736,3,1,NA,14,1,1,402044.43,30.15,34.44,25.85,108.95,88.22,98.58,"Budorcas_taxicolor"
"Artiodactyla","Bovidae",47763.72,NA,NA,NA,NA,NA,NA,NA,177986.79,23.53,32.88,14.18,57.13,31.5,44.31,"Capra_nubiana"
"Artiodactyla","Bovidae",60898.77,1200,2,NA,0.64,NA,NA,1,110472.5,39.02,42.03,36.01,2.38,-6.64,-2.13,"Capra_pyrenaica"
